Contracts,Qty,Entry Price,Exit Price,Trade Type,Closed P&L,Result,Open Trade Volume,Closed Trade Volume,Opening Fee,Closing Fee,Funding Fee,Trade Time
XAUTUSDT,0.076,"5,127.00","5,140.00",Close Short,-1.4171,Loss,389.65,390.64,0.2143086 USDT,0.214852 USDT,0,2026-03-11 15:01:23
XAUTUSDT,0.084,"5,134.90","5,111.30",Close Short,1.509,Win,431.33,429.34,0.23723238 USDT,0.23614207 USDT,0,2026-03-11 14:51:58
BTCUSDT,0.002,"69,108.80","69,404.40",Close Short,-0.7435,Loss,138.21,138.8,0.07601968 USDT,0.07634484 USDT,0,2026-03-11 14:05:15
XAUTUSDT,-0.097,"5,147.20","5,133.70",Close Long,-1.8579,Loss,499.27,497.96,0.27460312 USDT,0.2738829 USDT,0,2026-03-11 13:35:57
AVAXUSDT,-13,9.612,9.621,Close Long,-0.0205,Loss,124.95,125.07,0.0687258 USDT,0.06879015 USDT,0,2026-03-11 13:30:01
XAUTUSDT,0.097,"5,140.90","5,148.50",Close Short,-1.2861,Loss,498.66,499.4,0.27426702 USDT,0.27467248 USDT,0,2026-03-11 13:16:46
XAUTUSDT,-0.097,"5,144.10","5,136.70",Close Long,-1.2665,Loss,498.97,498.25,0.2744379 USDT,0.27404296 USDT,0,2026-03-11 12:56:01
AVAXUSDT,13.1,9.54,9.572,Close Short,-0.5569,Loss,124.97,125.39,0.0687357 USDT,0.06896626 USDT,0,2026-03-11 12:50:08
BTCUSDT,0.002,"69,478.20","69,422.60",Close Short,-0.0415,Loss,138.95,138.84,0.07642602 USDT,0.07636486 USDT,0,2026-03-11 12:45:00
XAUTUSDT,0.097,"5,142.00","5,148.80",Close Short,-1.2086,Loss,498.77,499.43,0.2743257 USDT,0.27468848 USDT,0,2026-03-11 12:03:34
BTCUSDT,0.002,"69,377.80","69,595.20",Close Short,-0.5876,Loss,138.75,139.19,0.07631558 USDT,0.07655472 USDT,0,2026-03-11 11:42:32
XAUTUSDT,-0.097,"5,145.04","5,138.20",Close Long,-1.2121,Loss,499.06,498.4,0.2744879 USDT,0.27412297 USDT,0,2026-03-11 11:35:58
XAUTUSDT,0.097,"5,144.40","5,152.00",Close Short,-1.2865,Loss,499,499.74,0.27445374 USDT,0.2748592 USDT,0,2026-03-11 10:41:04
BTCUSDT,0.002,"69,508.40","69,373.70",Close Short,0.1166,Win,139.01,138.74,0.07645924 USDT,0.07631107 USDT,0,2026-03-11 10:38:34
XAUTUSDT,-0.097,"5,153.10","5,145.70",Close Long,-1.2672,Loss,499.85,499.13,0.27491789 USDT,0.2745231 USDT,0,2026-03-11 9:22:07
XAUTUSDT,-0.097,"5,153.60","5,146.50",Close Long,-1.2631,Loss,499.89,499.21,0.27494456 USDT,0.2745658 USDT,0.0249,2026-03-11 9:01:56
XAUTUSDT,0.097,"5,156.90","5,145.00",Close Short,0.6046,Win,500.21,499.06,0.27512062 USDT,0.27448575 USDT,0,2026-03-11 8:37:14
XAUTUSDT,-0.096,"5,158.30","5,152.00",Close Long,-1.1491,Loss,495.19,494.59,0.27235824 USDT,0.2720256 USDT,0,2026-03-11 7:44:19
XAUTUSDT,0.096,"5,159.60","5,164.20",Close Short,-0.9866,Loss,495.32,495.76,0.27242688 USDT,0.27266976 USDT,0,2026-03-11 7:13:31
XAUTUSDT,0.096,"5,165.80","5,156.20",Close Short,0.3732,Win,495.91,494.99,0.27275424 USDT,0.27224736 USDT,0.0033,2026-03-11 6:30:27
XAUTUSDT,0.096,"5,159.00","5,167.20",Close Short,-1.3324,Loss,495.26,496.05,0.2723952 USDT,0.27282816 USDT,0,2026-03-11 3:46:11
BTCUSDT,-0.002,"70,076.00","69,862.55",Close Long,-0.5808,Loss,140.15,139.72,0.0770836 USDT,0.07684881 USDT,0,2026-03-11 3:32:39
AVAXUSDT,13.2,9.505,9.542,Close Short,-0.6282,Loss,125.46,125.95,0.0690063 USDT,0.06927581 USDT,0,2026-03-11 2:50:27
BTCUSDT,0.002,"69,984.40","69,903.60",Close Short,0.0077,Win,139.96,139.8,0.07698284 USDT,0.07689396 USDT,0,2026-03-11 2:42:51
XAUTUSDT,0.064,"5,151.00","5,167.10",Close Short,-1.3758,Loss,329.66,330.69,0.1813152 USDT,0.18188192 USDT,-0.0177,2026-03-11 1:23:17
BTCUSDT,0.002,"69,985.10","69,946.00",Close Short,-0.0757,Loss,139.97,139.89,0.07698361 USDT,0.0769406 USDT,0,2026-03-10 22:30:13
BTCUSDT,0.002,"69,931.30","69,782.80",Close Short,0.1433,Win,139.86,139.56,0.07692443 USDT,0.07676108 USDT,0,2026-03-10 20:36:49
XAUTUSDT,-0.096,"5,185.70","5,176.60",Close Long,-1.4207,Loss,497.82,496.95,0.27380496 USDT,0.27332448 USDT,0,2026-03-10 19:02:10